"province","city","cityType","GDP","POP","lon","lat"
"河南","濮阳市","地级市","1620.6","361","114.98","35.71"
"河南","许昌市","地级市","2642.1","434.15","113.81","34.02"
"河南","漯河市","地级市","1165.1","262.5","114.02","33.56"
"河南","南阳市","地级市","3377.7","1002.12","112.53","33.01"
"河南","商丘市","地级市","2217.9","727.39","115.65","34.44"
"河南","信阳市","地级市","2226.6","640","114.08","32.13"
"河南","驻马店市","地级市","2195.5","695.55","114.02","32.98"
"河南","周口市","地级市","2517","880.92","114.63","33.63"
"河南","三门峡市","地级市","1460.8","224.65","111.19","34.76"
"湖北","武汉市","副省级市","13410.34","1076.62","114.31","30.52"
"湖北","黄石市","地级市","1479.4","246.55","115.09","30.2"
"湖北","十堰市","地级市","1632.32","340.9","110.79","32.65"
"湖北","黄冈市","地级市","1921.83","632.1","114.87","30.44"
"湖北","宜昌市","地级市","3857.17","413","111.3","30.7"
"湖北","咸宁市","地级市","1234.86","252.6","114.28","29.87"
"湖北","襄阳市","地级市","4064.9","563.9","112.12255","32.009"
"湖北","随州市","地级市","935.72","220.18","113.38262","31.69013"
"湖北","鄂州市","地级市","905.92","106.85","114.89495","30.39085"
"湖北","荆门市","地级市","1664.17","290.13","112.19","31.02"
"湖北","孝感市","地级市","1742.23","490.43","113.91","31.92"
"湖北","荆州市","地级市","1922.18","569.79","112.24069","30.33479"
"湖北","恩施州","地级市","801.23","334.6","109.48817","30.27217"
"湖南","长沙市","地级市","10535.51","731.15","113","28.21"
"湖南","株洲市","地级市","2580.4","396.1","113.16","27.83"
"湖南","湘潭市","地级市","2055.76","281.3","112.91","27.87"
"湖南","衡阳市","地级市","3132.48","730.34","112.39","26.98"
"湖南","邵阳市","地级市","1619.5","721.94","111.5","27.22"
"湖南","岳阳市","地级市","3258.03","559.51","113.09","29.37"
"湖南","常德市","地级市","3238.14","583.08","111.69","29.05"
"湖南","益阳市","地级市","1665.41","439.15","112.33","28.6"
"湖南","郴州市","地级市","2337.73","469.79","113","25.79"
"湖南","永州市","地级市","1728.46","538.71","111.63","26.22"
"湖南","怀化市","地级市","1503.97","487","109.95","27.52"
"湖南","湘西州","地级市","582.64","262.05","109.73893","28.31173"
"湖南","张家界市","地级市","542.41","151.9","110.47839","29.11667"
"湖南","娄底市","地级市","1544.98","385.25","111.96","27.71"
"广东","广州市","副省级市","21503.15","1350.11","113.23","23.16"
"广东","韶关市","地级市","1338","293.15","113.62","24.84"
"广东","深圳市","副省级市","22438.39","1137.87","114.07","22.62"
"广东","珠海市","地级市","2564.73","163.41","113.52","22.3"
"广东","汕头市","地级市","2350.76","555.21","116.69","23.39"
